C1:1
C2:1
H1:1
H2:1
H3:1
H4:1
IC1:1
J1:1
J2:1
J3:1
J4:1
JP1:1
RN1:1
SW1:1
SW_DOWN1:1
SW_LEFT1:1
SW_RIGHT1:1
SW_START1:1
SW_STOP1:1
SW_UP1:1
TP1:1
U1:1
VR1:1
VR2:1
VR3:1
